index,time,IP,PD,GWfr,GWfr_avg,FIR,TDAI,WP,LHD_label,ELM_label
128,1.5706,-1030883.6875,7192359416405.42,0.192113734618105,0.192113734618105,5.98759004634626e+18,7192359416405.42,173386.838045802,1,1
129,1.5712,-1031226.87500001,7459891003134.69,0.191845219037446,0.191845219037446,5.97671349088757e+18,7459891003134.69,173233.753954199,1,1
130,1.5718,-1030990.0625,7341710604331.54,0.191715612490612,0.191715612490612,5.97123682842972e+18,7341710604331.54,173080.669862596,1,1
131,1.5724,-1031727.75000001,7162405400380.5,0.191731067913784,0.191731067913784,5.97139924569871e+18,7162405400380.5,172356.556160002,1,1
132,1.573,-1031856.18749999,6952858446742.47,0.191867319209191,0.191867319209191,5.97704659138859e+18,6952858446742.47,171349.923200002,1,1
133,1.5736,-1031382.5,7001662714235.06,0.192009608190715,0.192009608190715,5.98324166143679e+18,7001662714235.06,170343.290240002,1,1
134,1.5742,-1033855.06249994,6999347933677.21,0.192027964631128,0.192027964631128,5.98542319134484e+18,6999347933677.21,170249.493099234,1,1
135,1.5748,-1031608.18749999,6892158139796.86,0.192036362565767,0.192036362565767,5.98721167358521e+18,6892158139796.86,171999.454381676,1,1
136,1.5754,-1032131.25,6875903167060.59,0.192033937361167,0.192033937361167,5.98857298233878e+18,6875903167060.59,173749.415664119,1,1
137,1.576,-1035039.37499999,6905376268683.66,0.192052499623007,0.192052499623007,5.99239594993266e+18,6905376268683.66,175499.376946561,1,1
138,1.5766,-1033663.4375,7589139450004.74,0.192036130437166,0.192036130437166,5.99585291416155e+18,7589139450004.74,175758.049893129,1,1
139,1.5772,-1033050.56250006,7929947007605.44,0.191802610768736,0.191802610768736,5.99432881353895e+18,7929947007605.44,176016.191694656,1,1
140,1.5778,-1032958.25,7586102443639.7,0.191550074192269,0.191550074192269,5.99096338591768e+18,7586102443639.7,176274.333496183,1,1
141,1.5784,-1036341.37499995,7478279422969.54,0.191277609518888,0.191277609518888,5.98566840472181e+18,7478279422969.54,176712.300373332,1,1
142,1.579,-1033509.24999999,7488004406647.34,0.191204875693023,0.191204875693023,5.98450724592141e+18,7488004406647.34,177239.584304761,1,1
143,1.5796,-1032491.9375,7630772960540.92,0.19119315726834,0.19119315726834,5.98488504900249e+18,7630772960540.92,177766.868236189,1,1
144,1.5802,-1033038.25000002,7733987196202.95,0.191313751726701,0.191313751726701,5.989560651757e+18,7733987196202.95,177387.363297715,1,1
